DateTime,AddedIPs,RemovedIPs
1512364163,1,0
1512386223,1,0
1512430375,1,0
1512497057,0,2
1512541019,0,2
1512563098,0,2
1512606983,0,1
1512650931,0,1
1512673114,1,1
1512761323,0,1
1512783177,1,0
1512805321,0,1
1512827337,0,1
1512893573,1,0
1512915699,1,0
1512937973,0,1
1512959821,1,1
1512981881,1,0
1513003961,1,0
1513048167,3,1
1513180124,1,0
1513224293,1,0
1513279481,1,1
1513323630,1,0
1513389887,0,1
1513456136,1,0
1513521877,0,1
1513543967,0,1
1513565813,1,1
1513588165,0,2
1513610011,0,1
1513654110,1,3
1513697885,1,0
1513741978,1,0
1513786416,1,1
1513830527,0,1
1513897359,1,1
1513919313,1,1
1513941427,1,0
1513985820,1,0
1514029936,1,0
1514051852,1,0
1514073727,1,1
1514139875,1,0
1514183901,0,1
1514249934,0,1
1514271888,2,0
1514315806,0,1
1514359758,0,1
1514382057,1,1
1514448094,1,0
1514491963,1,0
1514514032,0,1
1514557802,0,1
1514579813,1,1
1514602022,1,0
1514623964,1,1
1514646167,1,0
1514668042,0,2
1514712104,0,1
1514734292,1,0
1514756241,0,1
1514800220,1,0
1514866377,1,2
1514998609,0,1
1515133552,2,2
1515200058,1,1
1515222403,0,2
1515244615,0,1
1515354539,0,1
1515398696,0,1
1515420755,1,0
1515464928,2,1
1515509161,3,0
1515553468,1,0
1515620061,0,1
1515708116,1,0
1515752088,1,0
1515774311,1,0
1515796618,1,0
1515818697,1,1
1515862694,1,0
1515884877,1,0
1515929121,1,0
1515973762,1,0
1516017895,0,1
1516061827,2,2
1516105970,0,3
1516150120,1,0
1516171963,0,1
1516193896,1,0
1516237785,0,1
1516259821,2,0
1516326067,1,0
1516348043,1,0
1516370489,0,1
1516392630,1,2
1516459050,0,1
1516503160,0,3
1516525280,0,1
1516569399,0,1
1516679307,0,2
1516701189,1,0
1516734549,1,0
1516756615,0,1
1516778721,2,1
