DateTime,AddedIPs,RemovedIPs
1509508899,1,0
1509519699,1,0
1509552101,0,1
1509559301,0,1
1509566500,1,0
1509570098,2,0
1509577301,1,0
1509584502,0,2
1509591699,0,1
1509595301,2,0
1509598898,1,0
1509602501,1,1
1509606097,1,0
1509613299,0,2
1509616900,0,2
1509620498,0,1
1509624101,1,0
1509627701,0,1
1509634903,1,0
1509649302,0,1
1509656501,3,0
1509681690,1,0
1509685288,0,2
1509696090,2,2
1509710491,1,2
1509724892,1,0
1509728489,2,1
1509739289,0,1
1509742896,0,2
1509750095,4,0
1509764496,0,2
1509768099,0,2
1509778898,1,0
1509793302,0,1
1509800500,2,0
1509804101,1,0
1509811300,2,0
1509814898,0,1
1509818500,1,1
1509825701,0,2
1509829301,2,0
1509832896,1,2
1509836500,1,0
1509843700,0,2
1509847301,2,1
1509861702,0,1
1509868900,1,0
1509872497,1,2
1509883297,0,1
1509890495,2,1
1509894101,1,0
1509904898,0,1
1509908497,1,0
1509919300,1,0
1509926501,2,0
1509933700,0,1
1509937295,0,2
1509940897,0,2
1509944499,1,0
1509948099,0,1
1509951698,2,0
1509958897,0,1
1509966101,0,2
1509973294,2,0
1509987700,1,0
1509991301,0,2
1510002095,3,1
1510012901,2,0
1510016498,0,3
1510023700,2,0
1510027301,0,2
1510030902,2,0
1510034499,1,0
1510038099,1,2
1510045295,0,1
1510052497,0,1
1510056095,0,1
1510059699,1,2
1510063297,1,0
1510066898,2,0
1510077702,1,0
1510092103,0,4
1510099300,2,0
1510110096,3,0
1510124496,0,3
1510131702,0,2
1510135298,1,0
1510138898,1,0
1510149694,0,1
1510153296,1,0
1510160498,1,0
1510164100,2,0
1510174899,0,1
1510178502,0,2
1510182102,0,1
1510189292,2,0
1510200089,1,0
1510214490,0,1
1510218092,0,2
1510232492,2,0
1510236092,1,0
1510246891,1,1
1510250492,0,1
1510261295,0,1
1510272094,0,2
1510290089,1,0
1510297290,2,0
1510300893,1,0
1510304490,0,1
1510308090,4,0
1510311690,0,2
1510315292,2,0
1510322491,0,5
1510329689,1,0
1510344091,0,2
1510351293,2,1
1510365698,3,2
1510372900,2,0
1510380102,0,3
1510387303,1,2
1510390898,2,0
1510412502,0,2
1510423298,1,0
1510430500,0,1
1510437701,2,1
1510448499,1,0
1510452096,1,0
1510455696,3,2
1510462907,0,1
1510466496,1,1
1510470097,0,3
1510484500,2,0
1510498900,0,3
1510502495,2,0
1510513299,0,1
1510516898,3,2
1510520497,1,0
1510524102,1,0
1510538500,0,1
1510549299,0,1
1510556502,2,0
1510560097,3,0
1510567296,1,0
1510570900,0,1
1510574499,0,3
1510578093,1,0
1510581700,0,1
1510592500,0,1
1510621302,1,0
1510624900,1,2
1510635700,0,1
1510639302,0,2
1510642899,1,0
1510646501,1,0
1510657298,2,1
1510664502,1,0
1510671701,0,2
1510678901,0,1
1510693297,2,0
1510718500,1,0
1510722098,1,0
1510725696,0,2
1510732901,0,1
1510736499,2,1
1510761699,0,2
1510765300,1,1
1510768899,1,1
1510779699,0,1
1510783298,2,0
1510790502,1,0
1510804891,0,1
1510812092,0,2
1510822893,1,0
1510826490,1,0
1510830091,2,0
1510837293,0,1
1510840887,0,1
1510855295,0,2
1510873291,1,0
1510876892,0,1
1510880491,1,0
1510887692,0,1
1510898492,1,0
1510902090,0,1
1510912890,0,1
1510916491,1,0
1510923690,3,0
1510927295,2,0
1510938090,0,3
1510941691,0,2
1510952491,0,1
1510956090,1,0
1510970501,0,1
1510974097,2,0
1510988501,1,0
1510995699,1,0
1511010099,0,3
1511024500,0,1
1511028100,2,0
1511042499,0,2
1511046100,1,0
1511053298,1,0
1511064103,2,0
1511067701,0,1
1511071297,1,0
1511078503,0,2
1511085698,0,1
1511089298,2,0
1511100095,0,1
1511103700,1,2
1511114500,5,0
1511118101,1,0
1511128897,0,6
1511132502,1,0
1511136102,2,0
1511139703,0,1
1511172097,1,0
1511200901,0,1
1511215302,1,0
1511222503,1,0
1511226096,0,2
1511229702,0,1
1511233300,1,0
1511236899,2,1
1511247700,0,1
1511254896,0,2
1511258500,2,0
1511262098,0,1
1511272901,1,2
1511280097,2,0
1511308902,0,2
1511319700,1,0
1511326900,2,0
1511330496,0,1
1511334101,0,1
1511337695,1,0
1511355699,0,2
1511373701,0,1
1511377301,1,0
1511388098,1,0
1511391699,2,0
1511402492,0,1
1511409689,0,2
1511413289,4,0
1511416892,2,0
1511420490,0,1
1511424090,1,0
1511427693,0,3
1511431295,0,2
1511442093,0,2
1511452889,3,0
1511478091,0,2
1511503294,1,0
1511517690,0,2
1511521289,1,0
1511564487,1,0
1511578902,2,1
1511593299,0,2
1511607699,2,0
1511618496,0,1
1511622098,0,2
1511632901,3,0
1511658100,3,0
1511661700,1,0
1511668900,0,1
1511672501,2,3
1511683298,0,2
1511690499,0,1
1511708501,1,0
1511722896,0,1
1511762497,1,0
1511776896,0,1
1511794898,3,0
1511809302,0,3
1511830899,1,0
1511845300,1,1
1511859701,0,1
1511877701,1,0
1511899302,0,1
1511902901,1,0
1511917301,0,1
1511928101,1,0
1511942501,0,1
1511964104,1,0
1511985701,1,0
1512000100,0,1
1512007304,0,2
1512064898,1,0
1512082904,0,1
1512165699,1,0
1512180100,0,1
1512183700,1,0
1512198098,0,1
1512212498,1,0
1512216100,2,0
1512226899,0,3
1512259301,1,0
1512262889,2,0
1512273689,1,3
1512288092,1,0
1512298891,0,2
1512302455,0,2
1512316891,1,0
1512331254,0,1
1512403299,1,0
1512417664,0,1
1512442898,1,0
1512457263,0,1
1512507700,2,0
1512522065,0,2
1512583302,1,0
1512601263,0,1
1512619301,1,0
1512626499,1,0
1512633699,0,1
1512640859,0,1
1512680498,1,0
1512694857,0,1
1512702100,2,0
1512716464,0,2
1512752499,1,0
1512766898,1,0
1512781291,0,1
1512784893,1,0
1512792091,0,1
1512799292,1,1
1512813695,1,0
1512828092,0,1
1512838893,1,0
1512853290,0,1
1512867692,1,0
1512878490,0,1
1512882054,0,1
1512903690,1,0
1512921653,0,1
1512925290,1,0
1512939653,0,1
1512961298,1,0
1513004464,0,1
1513022499,1,0
1513080061,0,1
1513083702,1,0
1513108864,0,1
1513112498,1,0
1513137664,0,1
1513141303,2,0
1513155699,0,1
1513166496,1,0
1513180902,0,1
1513191702,1,0
1513206099,0,1
1513285265,0,1
1513288903,1,0
1513346463,0,1
1513350099,1,0
1513364499,1,1
1513375297,1,0
1513378901,0,1
1513400459,0,1
1513411297,1,0
1513425657,0,1
1513429292,1,0
1513447253,0,1
1513454491,1,0
1513461692,1,0
1513479690,0,1
1513504855,0,1
1513508494,1,0
1513512093,1,0
1513519291,1,0
1513526491,0,1
1513533691,0,1
1513537256,0,1
1513540892,1,0
1513576861,0,1
1513580502,1,0
1513609263,0,1
1513612899,1,0
1513681261,0,1
1513702894,1,0
1513724461,0,1
1513735296,1,0
1513742499,1,0
1513749700,0,1
1513825298,1,0
1513836103,0,1
1513839661,0,1
1513850497,1,0
1513854100,1,0
1513868500,0,1
1513872062,0,1
1513879298,1,0
1513897264,0,1
1513908099,1,0
1513929700,1,0
1513940502,0,1
1513944062,0,1
1513958501,1,0
1513972901,1,0
1513987264,0,2
1513998092,1,0
1514005292,2,0
1514019690,0,2
1514059290,1,0
1514080855,0,2
1514091692,1,0
1514131291,1,0
1514160089,0,1
1514167299,1,0
1514170897,0,1
1514181664,0,1
