DateTime,Entries,UniqueIPs
1466409137,1038,1107
1466493612,1031,1099
1466581937,1021,1093
1466666416,1028,1099
1466754739,1016,1091
1466839227,1013,1089
1466927779,1011,1085
1467012737,1021,1095
1467097292,1033,1108
1467186011,1032,1108
1467270495,1031,1112
1467358818,1042,1120
1467445950,1038,1114
1467672269,1011,1086
1467757215,1009,1088
1467841940,1005,1082
1467930755,1006,1083
1468015459,1002,1081
1468104252,999,1081
1468188737,993,1075
1468275383,988,1076
1468361787,984,1074
1468447266,993,1084
1468535778,998,1089
1468620255,980,1078
1468708578,966,1069
1468794495,970,1070
1468878977,980,1083
1468967300,1000,1099
1469052088,1013,1108
1469140346,1029,1120
1469224842,1041,1128
1469311240,1028,1114
1469400247,1030,1114
1469484972,1021,1103
1469571615,1027,1105
1469659935,1030,1111
1469744663,1021,1103
1469829146,1024,1104
1469917462,1026,1103
1470003847,1019,1097
1470088572,1028,1099
1470176896,1052,1124
1470261368,1087,1160
1470349933,1065,1135
1470434442,1080,1144
1470522737,1114,1180
1470607453,1119,1181
1470696253,1096,1151
1470782431,1106,1161
1470866897,1138,1193
1470955211,1111,1161
1471039940,1098,1149
1471128254,1089,1141
1471212974,1098,1149
1471299373,1137,1189
1471387690,1119,1167
1471472177,1112,1160
1471560733,1115,1162
1471645695,1117,1163
1471730174,1149,1196
1471818976,1123,1169
1471903694,1124,1167
1471992988,1127,1167
1472077713,1125,1165
1472162180,1157,1201
1472250735,1152,1198
1472337396,1116,1164
1472422341,1106,1155
1472510902,1103,1154
1472595615,1135,1190
1472683943,1108,1161
1472768903,1108,1161
1472854102,1107,1162
1472942411,1106,1162
1473027374,1106,1162
1473114248,1139,1196
1473198975,1137,1196
1473287538,1140,1199
1473372052,1138,1198
1473461052,1108,1167
1473545538,1137,1196
1473634339,1113,1167
1473720737,1115,1169
1473805221,1116,1171
1473892336,1117,1172
1473977054,1144,1205
1474065372,1108,1164
1474149849,1141,1197
1474238426,1109,1162
1474322902,1115,1167
1474409358,1156,1208
1474497853,1127,1179
1474582578,1155,1207
1474676899,1120,1172
1474761372,1117,1170
1474849459,1122,1170
1474936819,1114,1163
1475021297,1110,1163
1475109619,1105,1157
1475195295,1100,1150
1475279806,1089,1141
1475368343,1079,1131
1475453062,1073,1124
1475541611,1076,1128
1475628253,1072,1121
1475713214,1064,1117
1475801768,1061,1114
1475886782,1064,1119
1475971263,1053,1107
1476059542,1047,1105
1476146176,1050,1109
1476231375,1048,1110
1476318271,1035,1100
1476404676,1038,1103
1476492972,1026,1093
1476579651,1025,1094
1476664101,1020,1092
1476748847,1011,1091
1476835454,1016,1096
1476924014,1018,1098
1477008977,1013,1094
1477097775,1014,1092
1477182501,1020,1099
1477269143,1027,1103
1477353661,1040,1112
1477441936,1041,1112
1477526656,1078,1150
1477614970,1051,1120
1477699459,1082,1152
1477788734,1061,1129
1477875144,1071,1139
1477971371,1083,1150
1478048452,1094,1163
1478132902,1128,1200
1478217861,1132,1202
1478304864,1144,1210
1478393289,1160,1223
1478478500,1175,1233
1478563458,1155,1203
1478652011,1157,1201
1478737219,1193,1237
1478825551,1165,1206
1478910754,1170,1207
1478999002,1168,1204
1479083620,1208,1244
1479168275,1221,1255
1479257783,1186,1218
1479342513,1192,1222
1479430867,1193,1222
1479517468,1189,1217
1479602192,1187,1215
1479687151,1226,1255
1479775949,1198,1226
1479859478,1237,1266
1479947787,1211,1240
1480032509,1255,1284
1480120823,1224,1252
1480205539,1256,1287
1480294100,1212,1244
1480378829,1215,1245
1480467710,1209,1238
1480552581,1254,1285
1480638033,1254,1285
1480726570,1229,1257
1480810337,1229,1258
1480899147,1231,1260
1480984230,1263,1297
