DateTime,AddedIPs,RemovedIPs
1515811619,0,1
1515813269,1,0
1515814254,0,2
1515815144,1,0
1515816095,1,0
1515820469,3,1
1515822611,2,0
1515826198,1,0
1515827444,0,1
1515829429,1,1
1515830933,0,1
1515833430,1,0
1515834650,1,0
1515835807,1,2
1515838857,0,1
1515839311,1,0
1515840984,1,0
1515842081,1,0
1515843047,0,1
1515843751,0,1
1515845391,1,0
1515847556,2,1
1515848870,0,1
1515852084,0,1
1515854553,1,0
1515858990,0,2
1515859847,1,0
1515860754,1,0
1515861757,0,3
1515863447,1,1
1515866138,1,0
1515869141,0,2
1515870279,0,1
1515871246,1,0
1515876370,0,1
1515878078,2,0
1515879037,2,1
1515879945,2,0
1515883350,1,0
1515887143,0,1
1515888877,0,1
1515890744,1,0
1515892251,1,1
1515895136,0,1
1515896149,2,0
1515897648,0,2
1515898915,0,1
1515901546,1,0
1515903271,1,0
1515904949,0,1
1515906652,1,0
1515913851,0,1
1515917194,2,0
1515918052,0,1
1515921051,1,2
1515928255,1,0
1515929444,0,4
1515931855,1,0
1515933945,0,1
1515941931,1,0
1515946545,1,2
1515948167,2,0
1515949897,0,1
1515951557,0,1
1515953446,0,1
1515955253,1,0
1515958109,0,1
1515959148,0,1
1515960396,0,1
1515962324,1,1
1515964249,2,1
1515966151,1,1
1515967849,1,1
1515969811,3,1
1515971328,0,2
1515972779,2,1
1515975042,0,1
1515976952,3,0
1515978652,0,4
1515980762,0,1
1515982249,0,1
1515984344,1,0
1515985850,2,3
1515988746,0,1
1515993294,0,1
1515994951,0,1
1515995830,2,0
1515999581,0,1
1516005083,1,1
1516007490,2,0
1516008756,1,0
1516010273,2,0
1516014301,1,1
1516015719,1,0
1516016578,0,1
1516021850,1,0
1516025745,1,2
1516028144,1,0
1516030851,0,1
1516033709,0,1
1516038232,0,1
1516039188,0,1
1516040080,1,0
1516040918,1,0
1516041980,1,1
1516042999,1,0
1516047286,2,4
1516049780,3,5
1516050649,3,0
1516051528,0,2
1516053411,0,1
1516056049,1,1
1516058730,1,0
1516062662,0,1
1516065648,3,0
1516066540,0,3
1516070730,1,1
1516072249,1,0
1516073451,1,1
1516074348,1,0
1516075627,1,0
1516081547,1,0
1516083042,1,0
1516085148,1,0
1516088552,1,1
1516090253,4,0
1516092031,0,1
1516094147,0,1
1516095027,0,1
1516097448,0,2
1516100975,1,0
1516102854,0,2
1516104659,0,1
1516106755,1,0
1516108473,1,0
1516109448,0,1
1516112449,0,2
1516113357,0,1
1516116458,0,1
1516118031,1,0
1516119052,1,1
1516121149,1,0
1516121788,0,1
1516124749,0,1
1516131587,1,0
1516133307,0,1
1516135247,0,1
1516137049,1,0
1516141709,3,1
1516143393,1,0
1516147848,1,1
1516149749,0,3
1516151448,1,0
1516155270,2,0
1516156456,0,1
1516160739,0,1
1516162250,1,0
1516165847,1,0
1516166730,1,0
1516169448,0,2
1516170348,1,0
1516171495,1,0
1516174136,1,1
1516175260,0,2
1516176873,1,1
1516178751,0,1
1516179782,0,1
1516183855,0,2
1516187680,0,2
1516189533,1,0
1516191045,1,1
1516192109,1,0
1516203055,1,0
1516203946,1,0
1516205042,1,0
1516206042,0,1
1516207921,1,1
1516211745,2,0
1516212649,0,1
1516215848,1,0
1516217739,1,1
1516219618,1,1
1516220451,0,1
1516222585,1,1
1516228950,1,0
1516230941,2,0
1516231719,1,0
1516232734,2,2
1516234247,0,1
1516235249,1,0
1516239004,1,0
1516241447,1,0
1516242647,3,1
1516244502,0,2
1516245347,1,0
1516246112,0,1
1516247144,1,1
1516248646,2,0
1516251030,1,0
1516252848,1,0
1516253753,0,1
1516255579,1,0
1516256450,1,0
1516258581,0,2
1516262156,0,2
1516263056,1,0
1516263885,0,1
1516270249,0,1
1516273029,1,2
1516275759,1,0
1516277059,1,1
1516279363,4,0
1516282263,2,0
1516283142,0,1
1516290171,1,1
1516291025,1,1
1516293772,1,3
1516295749,0,4
1516296791,0,1
1516299277,1,0
1516300955,1,1
1516302266,3,0
1516303227,1,0
1516305240,2,1
1516306249,0,1
1516307133,0,1
1516308047,1,0
1516310145,2,4
1516311756,3,2
1516312603,1,0
1516315365,2,0
1516317051,0,1
1516317861,0,1
1516318848,0,1
1516320650,2,0
1516321488,1,0
1516322364,1,0
1516324282,1,0
1516326347,0,1
1516328071,1,0
1516331209,1,0
1516332664,0,2
1516333548,0,1
1516334922,0,1
1516336117,1,0
1516338692,1,0
1516339852,0,3
1516340728,1,0
1516341705,1,0
1516343566,1,0
1516351370,1,0
1516353539,1,1
1516354966,1,0
1516359425,0,1
1516361559,2,1
1516364908,0,1
1516371933,1,0
1516372960,0,2
1516374945,3,1
1516375851,0,1
1516378248,1,0
1516380157,2,0
1516381257,0,2
1516382909,1,0
1516383753,0,1
1516384600,2,0
1516387366,0,1
1516392647,1,0
1516394144,4,1
1516397453,29,0
1516398348,3,0
1516399314,11,2
1516400138,2,0
1516401053,3,2
1516401752,21,0
1516402607,2,0
1516403669,15,2
1516404969,8,1
1516406195,11,3
1516407086,2,1
1516407268,2,0
1516408239,2,2
1516408950,4,0
1516410876,17,2
1516412565,10,3
1516413419,3,0
1516416049,1,1
1516416942,4,0
1516418069,5,1
1516419945,2,1
1516422048,3,0
1516424188,6,2
1516425269,1,0
1516426859,1,1
1516428648,1,2
1516430450,1,0
1516431541,3,0
1516432550,3,0
1516433455,2,0
1516435325,1,0
1516436142,1,0
1516437347,1,1
1516438577,1,0
1516439444,2,0
1516440308,13,0
1516441371,3,1
1516444531,0,1
1516445793,1,1
1516446655,11,0
1516448299,0,3
1516449385,0,4
1516450250,1,0
1516452051,1,1
1516452975,1,1
1516454138,1,0
1516455749,0,1
1516456593,1,0
1516457669,0,2
1516462527,1,1
1516463737,1,0
1516465839,0,1
1516466549,1,0
1516468248,0,1
1516471286,5,1
1516472146,1,2
1516473021,0,1
1516477355,0,1
1516478203,2,0
1516480950,1,2
1516482943,1,1
1516484740,0,1
1516489856,2,0
1516492585,3,3
1516493744,1,1
1516495242,0,3
1516498968,0,1
1516503399,2,0
1516506148,0,2
1516507162,0,1
1516508940,1,0
1516509760,0,1
1516511449,1,0
1516513358,1,3
1516514206,1,0
1516516956,1,0
1516517804,1,0
1516518650,1,0
1516519515,1,0
1516520450,0,1
1516521831,0,1
1516524053,0,1
1516525547,3,0
1516526449,1,0
1516530944,0,2
1516533278,3,0
1516536648,1,1
1516537845,0,1
1516538743,1,0
1516543558,0,2
1516544909,1,0
1516549539,1,2
1516551052,1,0
1516552264,0,1
1516554086,1,2
1516554944,1,0
1516558541,1,1
1516559318,1,1
1516560161,1,1
1516561846,1,0
1516563945,1,2
1516565451,1,0
1516566436,1,0
1516568204,1,43
1516569051,2,0
1516571543,2,6
1516572649,0,22
1516574549,1,18
