DateTime,AddedIPs,RemovedIPs
1512386214,0,1
1512452472,0,1
1512497051,3,1
1512629062,1,1
1512717395,0,1
1512739382,0,1
1512783171,0,1
1512827331,1,0
1512915689,0,1
1512959815,1,0
1513026256,24,1
1513048154,117,0
1513092272,0,2
1513202205,1,0
1513224281,2,1
1513257631,1,0
1513434053,0,1
1513565807,0,1
1513588152,1,0
1513632042,0,26
1513654103,0,117
1513697877,1,0
1513741970,1,0
1513764100,3,0
1513808626,1,1
1513830516,0,2
1513874663,0,1
1513919307,1,0
1513941419,2,0
1513963544,1,0
1514007882,1,0
1514051844,0,1
1514095966,2,0
1514161728,1,0
1514183895,1,1
1514205854,1,0
1514227965,1,0
1514359752,0,1
1514382044,0,2
1514514026,0,1
1514557790,0,1
1514579802,1,1
1514623958,1,0
1514646161,1,0
1514668036,1,0
1514822208,0,1
1514844310,1,0
1514910502,1,0
1514932469,0,1
1514998602,1,0
1515154182,2,1
1515220532,0,1
1515242659,140,0
1515264502,0,2
1515330503,0,1
1515374826,1,0
1515440666,0,1
1515507179,0,1
1515529063,0,1
1515595229,0,1
1515749806,0,1
1515838392,0,140
1515904960,87,0
1515927163,54,0
1515949329,1,0
1515971650,0,1
1516059896,1,0
1516103819,1,0
1516346689,1,1
1516567005,0,1
1516588846,0,1
1516610929,1,0
1516677358,0,1
1516699245,1,0
1516721551,1,1
