DateTime,AddedIPs,RemovedIPs
1512623539,147,4236
1512709978,6584,91
1512796632,5041,5726
1512882656,4014,5243
1512969444,4536,4097
1513054933,5200,4435
1513142019,6281,4931
1513228634,6751,6006
1513314757,5081,6799
1513401419,3277,5729
1513487813,3211,3463
1513573967,2792,3233
1513660371,3658,2773
1513746800,3759,3577
1513833186,3929,3743
1513919591,3966,3898
1514006235,4070,3974
1514092599,3541,4111
1514178696,3043,3554
1514265319,3595,3051
1514351760,3864,3543
1514438025,4100,3833
1514524375,3865,4072
1514610777,3882,3887
1514697094,3226,3990
1514783596,3009,3278
1514869992,2913,2942
1514956354,3707,2944
1515042747,3967,3678
1515129207,3783,3954
1515215665,3782,3746
1515302218,3331,3831
1515388389,3054,3394
1515475206,4123,2974
1515561267,4209,4055
1515647611,4162,4167
1515733975,4242,4214
